timestamp_iso,offset_seconds,power_w,voltage_v,current_ma,phase
2026-09-10T02:18:47.106008+00:00,0,0.7,219.8,3.2,Standby
2026-09-10T02:18:49.106008+00:00,2,1.0,219.7,4.6,Standby
2026-09-10T02:18:51.106008+00:00,4,0.6,220.1,2.7,Standby
2026-09-10T02:18:53.106008+00:00,6,0.6,220.6,2.7,Standby
2026-09-10T02:18:55.106008+00:00,8,0.5,219.9,2.3,Standby
2026-09-10T02:18:57.106008+00:00,10,0.9,222.4,4.0,Standby
2026-09-10T02:18:59.106008+00:00,12,0.9,221.0,4.1,Standby
2026-09-10T02:19:01.106008+00:00,14,1.1,218.1,5.0,Standby
2026-09-10T02:19:03.106008+00:00,16,0.8,222.1,3.6,Standby
2026-09-10T02:19:05.106008+00:00,18,0.9,217.7,4.1,Standby
2026-09-10T02:19:07.106008+00:00,20,1.1,219.4,5.0,Standby
2026-09-10T02:19:09.106008+00:00,22,0.8,217.6,3.7,Standby
2026-09-10T02:19:11.106008+00:00,24,0.7,221.3,3.2,Standby
2026-09-10T02:19:13.106008+00:00,26,0.9,221.3,4.1,Standby
2026-09-10T02:19:15.106008+00:00,28,0.9,218.9,4.1,Standby
2026-09-10T02:19:17.106008+00:00,30,0.6,222.4,2.7,Standby
2026-09-10T02:19:19.106008+00:00,32,0.6,221.1,2.7,Standby
2026-09-10T02:19:21.106008+00:00,34,0.8,220.8,3.6,Standby
2026-09-10T02:19:23.106008+00:00,36,0.6,219.6,2.7,Standby
2026-09-10T02:19:25.106008+00:00,38,0.9,219.6,4.1,Standby
2026-09-10T02:19:27.106008+00:00,40,0.6,218.6,2.7,Standby
2026-09-10T02:19:29.106008+00:00,42,0.6,219.8,2.7,Standby
2026-09-10T02:19:31.106008+00:00,44,1.2,219.0,5.5,Standby
2026-09-10T02:19:33.106008+00:00,46,0.8,217.8,3.7,Standby
2026-09-10T02:19:35.106008+00:00,48,1.1,220.7,5.0,Standby
2026-09-10T02:19:37.106008+00:00,50,0.9,219.2,4.1,Standby
2026-09-10T02:19:39.106008+00:00,52,0.6,220.3,2.7,Standby
2026-09-10T02:19:41.106008+00:00,54,0.7,222.2,3.2,Standby
2026-09-10T02:19:43.106008+00:00,56,1.0,221.8,4.5,Standby
2026-09-10T02:19:45.106008+00:00,58,1.2,221.7,5.4,Standby
2026-09-10T02:19:47.106008+00:00,60,18.3,220.2,83.1,Water Fill
2026-09-10T02:19:49.106008+00:00,62,17.5,220.7,79.3,Water Fill
2026-09-10T02:19:51.106008+00:00,64,17.3,221.0,78.3,Water Fill
2026-09-10T02:19:53.106008+00:00,66,19.2,221.2,86.8,Water Fill
2026-09-10T02:19:55.106008+00:00,68,16.9,219.5,77.0,Water Fill
2026-09-10T02:19:57.106008+00:00,70,18.5,218.5,84.7,Water Fill
2026-09-10T02:19:59.106008+00:00,72,18.4,221.7,83.0,Water Fill
2026-09-10T02:20:01.106008+00:00,74,17.0,219.4,77.5,Water Fill
2026-09-10T02:20:03.106008+00:00,76,19.5,220.6,88.4,Water Fill
