timestamp_iso,elapsed_seconds,power_w,voltage_v,current_ma,energy_kwh,switch_on,source,inferred_state
2026-09-12T17:38:26.815596,0.00,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:28.572729,1.76,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:29.746233,2.93,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:31.092527,4.28,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:32.991127,6.18,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:34.845216,8.03,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:36.035809,9.22,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:37.240146,10.42,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:38.422259,11.61,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:39.862004,13.05,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:41.131963,14.32,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:42.337900,15.52,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:44.078737,17.26,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:45.644994,18.83,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:46.833154,20.02,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:49.037557,22.22,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:51.026027,24.21,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:52.761749,25.95,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:53.935999,27.12,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:55.390080,28.57,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:56.597493,29.78,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:38:58.382605,31.57,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:00.334665,33.52,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:01.635570,34.82,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:03.124456,36.31,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:04.651466,37.84,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:06.199243,39.38,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:07.405453,40.59,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:08.954682,42.14,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:10.999118,44.18,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:12.623596,45.81,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:13.881094,47.07,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:15.298552,48.48,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:16.828798,50.01,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:18.176079,51.36,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:19.418831,52.60,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:20.744945,53.93,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:22.174591,55.36,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:23.395451,56.58,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:24.706528,57.89,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:25.826894,59.01,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:28.015771,61.20,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:29.838161,63.02,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
2026-09-12T17:39:30.989554,64.17,0.0,207.4,0.0,0.01,True,local,IDLE/OFF
